trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.02, 'e': 1.0}",20,0,-236.27507022939508,"{0: 10, 1: 3, 2: 1, 3: 1, 4: 5}",0
2,False,"{'a': 0.02, 'e': 1.0}",30,11,-1.6188622400989927,"{0: 16, 1: 2, 2: 1, 3: 0, 4: 0}",1
3,False,"{'a': 0.02, 'e': 1.0}",20,0,-112.8768677277407,"{0: 11, 1: 1, 2: 6, 3: 1, 4: 1}",0
4,False,"{'a': 0.02, 'e': 1.0}",25,0,-260.0110137544318,"{0: 7, 1: 6, 2: 8, 3: 0, 4: 4}",0
5,False,"{'a': 0.02, 'e': 1.0}",25,0,-236.1245217750848,"{0: 12, 1: 3, 2: 5, 3: 1, 4: 4}",0
6,False,"{'a': 0.02, 'e': 1.0}",25,0,-191.38438626139722,"{0: 14, 1: 2, 2: 4, 3: 2, 4: 3}",0
7,False,"{'a': 0.02, 'e': 1.0}",25,0,-98.63973059604658,"{0: 16, 1: 3, 2: 4, 3: 1, 4: 1}",0
8,False,"{'a': 0.02, 'e': 1.0}",20,0,-32.192770394644285,"{0: 13, 1: 5, 2: 2, 3: 0, 4: 0}",0
9,False,"{'a': 0.02, 'e': 1.0}",25,0,-154.13794503380296,"{0: 15, 1: 1, 2: 6, 3: 1, 4: 2}",0
10,False,"{'a': 0.02, 'e': 1.0}",20,0,-58.482238882619406,"{0: 12, 1: 3, 2: 4, 3: 1, 4: 0}",0
11,False,"{'a': 0.02, 'e': 1.0}",20,0,-70.33612401445737,"{0: 10, 1: 4, 2: 6, 3: 0, 4: 0}",0
12,False,"{'a': 0.02, 'e': 1.0}",20,0,-120.83123506397327,"{0: 11, 1: 3, 2: 2, 3: 3, 4: 1}",0
13,False,"{'a': 0.02, 'e': 1.0}",20,0,-142.48138648845463,"{0: 12, 1: 1, 2: 3, 3: 2, 4: 2}",0
14,False,"{'a': 0.02, 'e': 1.0}",20,0,-118.82619801859225,"{0: 12, 1: 1, 2: 5, 3: 0, 4: 2}",0
15,False,"{'a': 0.02, 'e': 1.0}",20,0,-133.85416230583976,"{0: 10, 1: 3, 2: 5, 3: 0, 4: 2}",0
16,False,"{'a': 0.02, 'e': 1.0}",20,0,-147.36804077451075,"{0: 10, 1: 3, 2: 4, 3: 1, 4: 2}",0
17,False,"{'a': 0.02, 'e': 1.0}",20,0,-73.40430261682019,"{0: 13, 1: 0, 2: 5, 3: 2, 4: 0}",0
18,False,"{'a': 0.02, 'e': 1.0}",30,0,-147.1646478242591,"{0: 18, 1: 4, 2: 5, 3: 1, 4: 2}",0
19,False,"{'a': 0.02, 'e': 1.0}",20,0,-77.91035833350917,"{0: 10, 1: 3, 2: 6, 3: 1, 4: 0}",0
20,False,"{'a': 0.02, 'e': 1.0}",25,0,-76.8258664168468,"{0: 18, 1: 0, 2: 6, 3: 0, 4: 1}",0
21,False,"{'a': 0.02, 'e': 1.0}",35,0,-173.99355077225434,"{0: 19, 1: 11, 2: 1, 3: 2, 4: 2}",0
22,False,"{'a': 0.02, 'e': 1.0}",35,0,-149.11362523381487,"{0: 19, 1: 4, 2: 9, 3: 3, 4: 0}",0
23,False,"{'a': 0.02, 'e': 1.0}",25,0,-66.91221579188841,"{0: 16, 1: 3, 2: 5, 3: 1, 4: 0}",0
24,False,"{'a': 0.02, 'e': 1.0}",30,0,-185.39698516069848,"{0: 15, 1: 4, 2: 8, 3: 1, 4: 2}",0
25,False,"{'a': 0.02, 'e': 1.0}",25,0,-210.55338757029907,"{0: 12, 1: 3, 2: 5, 3: 2, 4: 3}",0
26,False,"{'a': 0.02, 'e': 1.0}",20,0,-100.50049284624876,"{0: 8, 1: 4, 2: 7, 3: 1, 4: 0}",0
27,False,"{'a': 0.02, 'e': 1.0}",25,0,-91.52639511414674,"{0: 15, 1: 4, 2: 5, 3: 0, 4: 1}",0
28,False,"{'a': 0.02, 'e': 1.0}",30,0,-111.6444696702687,"{0: 17, 1: 4, 2: 7, 3: 2, 4: 0}",0
29,False,"{'a': 0.02, 'e': 1.0}",25,0,-150.7931819006795,"{0: 14, 1: 3, 2: 5, 3: 1, 4: 2}",0
30,False,"{'a': 0.02, 'e': 1.0}",20,0,-13.812431794067251,"{0: 17, 1: 1, 2: 1, 3: 1, 4: 0}",0
31,False,"{'a': 0.02, 'e': 1.0}",20,0,-85.40696526709367,"{0: 11, 1: 4, 2: 4, 3: 0, 4: 1}",0
32,False,"{'a': 0.02, 'e': 1.0}",20,4,-120.52992940862202,"{0: 10, 1: 0, 2: 3, 3: 1, 4: 2}",1
33,False,"{'a': 0.02, 'e': 1.0}",20,0,-113.38920127730776,"{0: 10, 1: 3, 2: 5, 3: 1, 4: 1}",0
34,False,"{'a': 0.02, 'e': 1.0}",25,0,-114.08334112422962,"{0: 18, 1: 1, 2: 3, 3: 1, 4: 2}",0
35,False,"{'a': 0.02, 'e': 1.0}",20,0,-133.8772471631691,"{0: 10, 1: 2, 2: 5, 3: 2, 4: 1}",0
36,False,"{'a': 0.02, 'e': 1.0}",25,0,-17.7060502483206,"{0: 22, 1: 1, 2: 1, 3: 1, 4: 0}",0
