trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 1.0}",20,0,-155.80307610432368,"{0: 7, 1: 3, 2: 7, 3: 2, 4: 1}",0
2,False,"{'a': 0.5, 'e': 1.0}",20,0,-75.19706301538685,"{0: 13, 1: 1, 2: 4, 3: 2, 4: 0}",0
3,False,"{'a': 0.5, 'e': 1.0}",30,0,-143.24103737833985,"{0: 16, 1: 6, 2: 5, 3: 2, 4: 1}",0
4,False,"{'a': 0.5, 'e': 1.0}",20,0,-87.26980858898062,"{0: 12, 1: 4, 2: 2, 3: 1, 4: 1}",0
5,False,"{'a': 0.5, 'e': 1.0}",25,0,-205.5710572919517,"{0: 14, 1: 3, 2: 4, 3: 0, 4: 4}",0
6,False,"{'a': 0.5, 'e': 1.0}",20,4,-51.77166215977548,"{0: 9, 1: 3, 2: 3, 3: 1, 4: 0}",1
7,False,"{'a': 0.5, 'e': 1.0}",25,0,-186.7798618732219,"{0: 15, 1: 1, 2: 4, 3: 2, 4: 3}",0
8,False,"{'a': 0.5, 'e': 1.0}",30,0,-144.61062216908638,"{0: 18, 1: 1, 2: 8, 3: 2, 4: 1}",0
9,False,"{'a': 0.5, 'e': 1.0}",20,4,-83.6035621510536,"{0: 7, 1: 1, 2: 7, 3: 1, 4: 0}",1
10,False,"{'a': 0.5, 'e': 1.0}",25,0,-76.49610087510257,"{0: 16, 1: 4, 2: 3, 3: 2, 4: 0}",0
11,False,"{'a': 0.5, 'e': 1.0}",20,0,-62.929606121594524,"{0: 12, 1: 2, 2: 5, 3: 1, 4: 0}",0
12,False,"{'a': 0.5, 'e': 1.0}",30,10,-35.46465808770361,"{0: 14, 1: 1, 2: 5, 3: 0, 4: 0}",1
13,False,"{'a': 0.5, 'e': 1.0}",20,0,-110.17745976326648,"{0: 10, 1: 2, 2: 7, 3: 0, 4: 1}",0
14,False,"{'a': 0.5, 'e': 1.0}",25,12,-51.69980417433602,"{0: 9, 1: 1, 2: 2, 3: 0, 4: 1}",1
15,False,"{'a': 0.5, 'e': 1.0}",20,0,-70.13811741845214,"{0: 10, 1: 5, 2: 5, 3: 0, 4: 0}",0
16,False,"{'a': 0.5, 'e': 1.0}",25,9,-76.44010959966796,"{0: 10, 1: 2, 2: 2, 3: 1, 4: 1}",1
17,False,"{'a': 0.5, 'e': 1.0}",20,0,-69.22868170645887,"{0: 13, 1: 3, 2: 3, 3: 0, 4: 1}",0
18,False,"{'a': 0.5, 'e': 1.0}",20,14,-38.119004967316414,"{0: 4, 1: 1, 2: 0, 3: 0, 4: 1}",1
19,False,"{'a': 0.5, 'e': 1.0}",30,0,-114.54378755073988,"{0: 17, 1: 5, 2: 7, 3: 0, 4: 1}",0
20,False,"{'a': 0.5, 'e': 1.0}",25,0,-130.99381466732783,"{0: 15, 1: 1, 2: 6, 3: 2, 4: 1}",0
1,True,"{'a': 0.5, 'e': 1.0}",25,6,-127.97587213643163,"{0: 10, 1: 3, 2: 3, 3: 1, 4: 2}",1
2,True,"{'a': 0.5, 'e': 1.0}",30,0,-182.85269863092697,"{0: 17, 1: 5, 2: 4, 3: 1, 4: 3}",0
3,True,"{'a': 0.5, 'e': 1.0}",25,0,-133.56691876558767,"{0: 15, 1: 2, 2: 6, 3: 0, 4: 2}",0
4,True,"{'a': 0.5, 'e': 1.0}",20,0,-226.66918278514225,"{0: 8, 1: 2, 2: 5, 3: 1, 4: 4}",0
5,True,"{'a': 0.5, 'e': 1.0}",20,0,-132.62472811594967,"{0: 12, 1: 1, 2: 4, 3: 1, 4: 2}",0
6,True,"{'a': 0.5, 'e': 1.0}",25,0,-87.39886873673383,"{0: 17, 1: 1, 2: 4, 3: 3, 4: 0}",0
7,True,"{'a': 0.5, 'e': 1.0}",30,0,-150.93928947997532,"{0: 18, 1: 4, 2: 5, 3: 1, 4: 2}",0
8,True,"{'a': 0.5, 'e': 1.0}",25,0,-177.56983638690818,"{0: 13, 1: 4, 2: 5, 3: 0, 4: 3}",0
9,True,"{'a': 0.5, 'e': 1.0}",25,0,-217.46389295226902,"{0: 11, 1: 4, 2: 5, 3: 2, 4: 3}",0
10,True,"{'a': 0.5, 'e': 1.0}",20,0,-93.24567188710385,"{0: 14, 1: 0, 2: 4, 3: 1, 4: 1}",0
